WOJ,WOJEWÓDZTWO,IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,MARIA,KOBIETA,505
02,DOLNOŚLĄSKIE,ANNA,KOBIETA,430
02,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,173
02,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,128
02,DOLNOŚLĄSKIE,HELENA,KOBIETA,127
02,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,115
02,DOLNOŚLĄSKIE,JULIA,KOBIETA,114
02,DOLNOŚLĄSKIE,MAŁGORZATA,KOBIETA,112
02,DOLNOŚLĄSKIE,ALICJA,KOBIETA,109
02,DOLNOŚLĄSKIE,BARBARA,KOBIETA,105
02,DOLNOŚLĄSKIE,MAGDALENA,KOBIETA,103
02,DOLNOŚLĄSKIE,KATARZYNA,KOBIETA,102
02,DOLNOŚLĄSKIE,EWA,KOBIETA,99
02,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,82
02,DOLNOŚLĄSKIE,LAURA,KOBIETA,72
02,DOLNOŚLĄSKIE,JOANNA,KOBIETA,70
02,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,69
02,DOLNOŚLĄSKIE,WERONIKA,KOBIETA,69
02,DOLNOŚLĄSKIE,ELŻBIETA,KOBIETA,68
02,DOLNOŚLĄSKIE,NATALIA,KOBIETA,67
02,DOLNOŚLĄSKIE,HANNA,KOBIETA,66
02,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,66
02,DOLNOŚLĄSKIE,KRYSTYNA,KOBIETA,65
02,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,65
02,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,63
02,DOLNOŚLĄSKIE,AGNIESZKA,KOBIETA,62
02,DOLNOŚLĄSKIE,EMILIA,KOBIETA,61
02,DOLNOŚLĄSKIE,JANINA,KOBIETA,54
02,DOLNOŚLĄSKIE,TERESA,KOBIETA,54
02,DOLNOŚLĄSKIE,JADWIGA,KOBIETA,52
02,DOLNOŚLĄSKIE,MAJA,KOBIETA,52
02,DOLNOŚLĄSKIE,MARIANNA,KOBIETA,49
02,DOLNOŚLĄSKIE,MARTA,KOBIETA,49
02,DOLNOŚLĄSKIE,RÓŻA,KOBIETA,49
02,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,48
02,DOLNOŚLĄSKIE,IRENA,KOBIETA,44
02,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,44
02,DOLNOŚLĄSKIE,MONIKA,KOBIETA,43
02,DOLNOŚLĄSKIE,AMELIA,KOBIETA,42
02,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,41
02,DOLNOŚLĄSKIE,KLARA,KOBIETA,39
02,DOLNOŚLĄSKIE,IZABELA,KOBIETA,38
02,DOLNOŚLĄSKIE,ANIELA,KOBIETA,36
02,DOLNOŚLĄSKIE,BEATA,KOBIETA,36
