KOD WOJ,WOJEWÓDZTWO,IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,MARIA,KOBIETA,606
02,DOLNOŚLĄSKIE,ANNA,KOBIETA,453
02,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,218
02,DOLNOŚLĄSKIE,HELENA,KOBIETA,163
02,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,149
02,DOLNOŚLĄSKIE,MAGDALENA,KOBIETA,148
02,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,145
02,DOLNOŚLĄSKIE,JULIA,KOBIETA,142
02,DOLNOŚLĄSKIE,KATARZYNA,KOBIETA,140
02,DOLNOŚLĄSKIE,EWA,KOBIETA,140
02,DOLNOŚLĄSKIE,ALICJA,KOBIETA,124
02,DOLNOŚLĄSKIE,MAŁGORZATA,KOBIETA,121
02,DOLNOŚLĄSKIE,ELŻBIETA,KOBIETA,99
02,DOLNOŚLĄSKIE,BARBARA,KOBIETA,99
02,DOLNOŚLĄSKIE,NATALIA,KOBIETA,94
02,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,90
02,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,90
02,DOLNOŚLĄSKIE,JOANNA,KOBIETA,87
02,DOLNOŚLĄSKIE,EMILIA,KOBIETA,87
02,DOLNOŚLĄSKIE,HANNA,KOBIETA,84
02,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,80
02,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,79
02,DOLNOŚLĄSKIE,WERONIKA,KOBIETA,78
02,DOLNOŚLĄSKIE,KRYSTYNA,KOBIETA,77
02,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,72
02,DOLNOŚLĄSKIE,TERESA,KOBIETA,69
02,DOLNOŚLĄSKIE,JADWIGA,KOBIETA,66
02,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,64
02,DOLNOŚLĄSKIE,MAJA,KOBIETA,63
02,DOLNOŚLĄSKIE,JANINA,KOBIETA,63
02,DOLNOŚLĄSKIE,AMELIA,KOBIETA,63
02,DOLNOŚLĄSKIE,AGNIESZKA,KOBIETA,63
02,DOLNOŚLĄSKIE,MARTA,KOBIETA,62
02,DOLNOŚLĄSKIE,DANUTA,KOBIETA,56
02,DOLNOŚLĄSKIE,URSZULA,KOBIETA,53
02,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,53
02,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,52
02,DOLNOŚLĄSKIE,MARIANNA,KOBIETA,51
02,DOLNOŚLĄSKIE,MONIKA,KOBIETA,50
02,DOLNOŚLĄSKIE,LAURA,KOBIETA,49
02,DOLNOŚLĄSKIE,AGATA,KOBIETA,49
02,DOLNOŚLĄSKIE,KINGA,KOBIETA,46
02,DOLNOŚLĄSKIE,LENA,KOBIETA,45
02,DOLNOŚLĄSKIE,BEATA,KOBIETA,44
02,DOLNOŚLĄSKIE,PAULINA,KOBIETA,41
02,DOLNOŚLĄSKIE,KLARA,KOBIETA,40
02,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,39
02,DOLNOŚLĄSKIE,KAMILA,KOBIETA,38
02,DOLNOŚLĄSKIE,IRENA,KOBIETA,38
02,DOLNOŚLĄSKIE,ANIELA,KOBIETA,38
02,DOLNOŚLĄSKIE,ROZALIA,KOBIETA,35
02,DOLNOŚLĄSKIE,IZABELA,KOBIETA,33
02,DOLNOŚLĄSKIE,HALINA,KOBIETA,33
02,DOLNOŚLĄSKIE,RÓŻA,KOBIETA,30
02,DOLNOŚLĄSKIE,NADIA,KOBIETA,30
02,DOLNOŚLĄSKIE,DOROTA,KOBIETA,30
02,DOLNOŚLĄSKIE,JAGODA,KOBIETA,29
02,DOLNOŚLĄSKIE,STEFANIA,KOBIETA,28
02,DOLNOŚLĄSKIE,DOMINIKA,KOBIETA,28
02,DOLNOŚLĄSKIE,JOLANTA,KOBIETA,27
02,DOLNOŚLĄSKIE,PATRYCJA,KOBIETA,26
02,DOLNOŚLĄSKIE,LIDIA,KOBIETA,26
02,DOLNOŚLĄSKIE,KORNELIA,KOBIETA,26
02,DOLNOŚLĄSKIE,JUSTYNA,KOBIETA,26
02,DOLNOŚLĄSKIE,IGA,KOBIETA,25
02,DOLNOŚLĄSKIE,POLA,KOBIETA,24
02,DOLNOŚLĄSKIE,IWONA,KOBIETA,24
02,DOLNOŚLĄSKIE,GRAŻYNA,KOBIETA,24
02,DOLNOŚLĄSKIE,WANDA,KOBIETA,23
02,DOLNOŚLĄSKIE,STANISŁAWA,KOBIETA,23
02,DOLNOŚLĄSKIE,BOŻENA,KOBIETA,23
02,DOLNOŚLĄSKIE,MARTYNA,KOBIETA,22
02,DOLNOŚLĄSKIE,SARA,KOBIETA,21
02,DOLNOŚLĄSKIE,NINA,KOBIETA,21
02,DOLNOŚLĄSKIE,KLAUDIA,KOBIETA,20
02,DOLNOŚLĄSKIE,SYLWIA,KOBIETA,19
02,DOLNOŚLĄSKIE,MATYLDA,KOBIETA,19
02,DOLNOŚLĄSKIE,LILIANA,KOBIETA,19
02,DOLNOŚLĄSKIE,EWELINA,KOBIETA,19
02,DOLNOŚLĄSKIE,NIKOLA,KOBIETA,18
02,DOLNOŚLĄSKIE,KAJA,KOBIETA,17
02,DOLNOŚLĄSKIE,JÓZEFA,KOBIETA,17
02,DOLNOŚLĄSKIE,RITA,KOBIETA,16
02,DOLNOŚLĄSKIE,MILENA,KOBIETA,16
02,DOLNOŚLĄSKIE,DARIA,KOBIETA,16
02,DOLNOŚLĄSKIE,RENATA,KOBIETA,15
02,DOLNOŚLĄSKIE,MIA,KOBIETA,15
02,DOLNOŚLĄSKIE,LILIANNA,KOBIETA,15
02,DOLNOŚLĄSKIE,EDYTA,KOBIETA,15
02,DOLNOŚLĄSKIE,MARZENA,KOBIETA,14
02,DOLNOŚLĄSKIE,AURELIA,KOBIETA,14
02,DOLNOŚLĄSKIE,ALINA,KOBIETA,14
02,DOLNOŚLĄSKIE,SABINA,KOBIETA,13
02,DOLNOŚLĄSKIE,LUCYNA,KOBIETA,13
02,DOLNOŚLĄSKIE,ELIZA,KOBIETA,13
02,DOLNOŚLĄSKIE,ADRIANNA,KOBIETA,13
02,DOLNOŚLĄSKIE,WIOLETTA,KOBIETA,12
02,DOLNOŚLĄSKIE,ROKSANA,KOBIETA,12
02,DOLNOŚLĄSKIE,MALWINA,KOBIETA,12
02,DOLNOŚLĄSKIE,DIANA,KOBIETA,12
02,DOLNOŚLĄSKIE,ANETA,KOBIETA,12
02,DOLNOŚLĄSKIE,ILONA,KOBIETA,11
02,DOLNOŚLĄSKIE,FAUSTYNA,KOBIETA,11
02,DOLNOŚLĄSKIE,CECYLIA,KOBIETA,11
02,DOLNOŚLĄSKIE,BOGUMIŁA,KOBIETA,11
02,DOLNOŚLĄSKIE,OLGA,KOBIETA,10
02,DOLNOŚLĄSKIE,MARIOLA,KOBIETA,10
02,DOLNOŚLĄSKIE,DAGMARA,KOBIETA,10
02,DOLNOŚLĄSKIE,NELA,KOBIETA,9
02,DOLNOŚLĄSKIE,LIWIA,KOBIETA,9
02,DOLNOŚLĄSKIE,GAJA,KOBIETA,9
02,DOLNOŚLĄSKIE,FRANCISZKA,KOBIETA,9
02,DOLNOŚLĄSKIE,SANDRA,KOBIETA,8
02,DOLNOŚLĄSKIE,MARIKA,KOBIETA,8
02,DOLNOŚLĄSKIE,KARINA,KOBIETA,8
02,DOLNOŚLĄSKIE,EMMA,KOBIETA,8
02,DOLNOŚLĄSKIE,BLANKA,KOBIETA,8
02,DOLNOŚLĄSKIE,WIESŁAWA,KOBIETA,7
